mode,run 2 (FullSim MD)
12573012,1808497
11574021,1500395
12773410,2000610
12573001,117296
11574011,293257
12773400,274172
11874430,1448012
11874440,13897
12873450,1160695
12873460,56126
12675011,212474
11674401,176417
12675402,146287
11676012,149170
12875440,209776
13874020,141862
13674000,72087
11894600,533760
12893600,586247
11894200,42460
12893610,126004
11894610,589959
12895400,182193
11894210,57109
12895000,75451
