dv42_TrackType,dv36_TrackType,dv42_BDT,dv36_BDT,dv42_totCandidates,dv36_totCandidates,dv42_Y_P,dv36_Y_P
3.0,3.0,0.1013500913977623,-0.15124408900737762,1.0,1.0,100683.51135197662,100683.70197878181
4.0,4.0,0.05185253918170929,-0.09104090929031372,1.0,1.0,98342.94992160506,98343.6372651521
1.0,1.0,-0.08985994756221771,-0.23275339603424072,1.0,1.0,70821.6096821741,70822.83589049739
3.0,3.0,0.1298699826002121,0.5557671189308167,1.0,1.0,290709.85344076087,290715.09795146354
4.0,4.0,-0.12975408136844635,-0.38234826922416687,1.0,1.0,77008.79436041825,77009.17582128195
1.0,1.0,0.18757961690425873,0.33047306537628174,1.0,1.0,73908.78725388685,73910.36573840844
4.0,4.0,0.15292595326900482,-0.0996682196855545,1.0,1.0,43012.40207047312,43012.65421053851
1.0,1.0,0.22850266098976135,-0.1669849455356598,1.0,1.0,65576.45480121023,65576.46114317745
1.0,1.0,0.3439331352710724,0.5283048748970032,1.0,1.0,81166.9378964065,81167.79097820594
1.0,1.0,0.06089247018098831,-0.2689869701862335,1.0,1.0,70559.75862480717,70560.18404073043
1.0,1.0,0.14247658848762512,-0.25469735264778137,1.0,1.0,110802.9400462767,110804.16939919764
3.0,3.0,0.36504581570625305,0.18067410588264465,1.0,1.0,98137.30576376358,98139.42896607266
3.0,3.0,-0.5027773380279541,-0.3598838746547699,1.0,1.0,238780.11341237687,238786.40322216426
1.0,1.0,0.005444168113172054,-0.2213011234998703,1.0,1.0,66130.73948927147,66131.73182609257
1.0,1.0,-0.49046632647514343,-0.7502015233039856,1.0,1.0,52267.126649083795,52267.526835220735
1.0,1.0,-0.5654243230819702,-0.33257341384887695,1.0,1.0,91289.21842589832,91289.96119336746
3.0,3.0,0.1827952265739441,0.3044467270374298,1.0,1.0,78675.9570214745,78676.86457893897
1.0,1.0,0.23559503257274628,0.42677009105682373,1.0,1.0,82698.25628586247,82699.32403527491
1.0,1.0,0.06089247018098831,-0.2964499294757843,1.0,1.0,51334.51991058771,51336.0383353196
1.0,1.0,0.08132794499397278,-0.10751431435346603,1.0,1.0,290709.85344076087,290715.09795146354
1.0,1.0,-0.12420759350061417,-0.46236297488212585,1.0,1.0,46934.877940030434,46934.985462052966
3.0,3.0,-0.3855665922164917,-0.507218062877655,1.0,1.0,106221.94428332378,106222.90809344179
3.0,3.0,-0.3184056282043457,-0.44005709886550903,1.0,1.0,74288.27195047247,74288.32418586011
1.0,1.0,-0.0611979179084301,-0.45224741101264954,1.0,1.0,168458.85354632098,168459.0138460349
1.0,1.0,-0.009153722785413265,-0.14009641110897064,1.0,1.0,102103.03891139079,102103.62285416666
3.0,3.0,0.16562393307685852,-0.14969046413898468,1.0,1.0,144063.44133917778,144064.43507778083
1.0,1.0,-0.020233113318681717,-0.39983585476875305,1.0,1.0,51334.51991058771,51336.0383353196
3.0,3.0,-0.7526472210884094,-0.6097537875175476,1.0,1.0,161789.1459365992,161793.44122018962
3.0,3.0,0.05185253918170929,0.3256886601448059,1.0,1.0,62464.56925179473,62465.12392670985
1.0,1.0,-0.037072304636240005,0.07468735426664352,1.0,1.0,118650.24903016027,118651.20606710292
1.0,1.0,-0.1486564427614212,-0.35561320185661316,1.0,1.0,207027.41699503234,207027.8981002446
