dv42_TrackType,dv36_TrackType,dv42_BDT,dv36_BDT,dv42_totCandidates,dv36_totCandidates,dv42_Y_P,dv36_Y_P,dv42_Y_PT,dv36_Y_PT,dv42_Y_ENDVERTEX_X,dv36_Y_ENDVERTEX_X,dv42_Y_ENDVERTEX_Z,dv36_Y_ENDVERTEX_Z
3.0,3.0,0.1013500913977623,-0.15124408900737762,1.0,1.0,100683.51135197662,100683.70197878181,7108.883592020845,7108.878206504095,0.5168810493093154,0.5168955966465845,83.14748326082258,83.14744670216987
4.0,4.0,0.05185253918170929,-0.09104090929031372,1.0,1.0,98342.94992160506,98343.6372651521,2779.3623040097345,2779.3633353281703,0.41889448827799614,0.418920080791529,68.49900362469131,68.4987744626045
1.0,1.0,-0.08985994756221771,-0.23275339603424072,1.0,1.0,70821.6096821741,70822.83589049739,5586.72089328102,5586.855865013203,0.7312034842715374,0.7311697936167292,76.47208684109273,76.4708807131517
3.0,3.0,0.1298699826002121,0.5557671189308167,1.0,1.0,290709.85344076087,290715.09795146354,8446.98868769219,8445.952000498095,2.2252189614938516,2.218113135483918,40.25732293582587,40.0350926106039
4.0,4.0,-0.12975408136844635,-0.38234826922416687,1.0,1.0,77008.79436041825,77009.17582128195,13996.334585197243,13996.370884165204,0.8407930941654449,0.8408240612293838,15.944297930111361,15.94441343467932
1.0,1.0,0.18757961690425873,0.33047306537628174,1.0,1.0,73908.78725388685,73910.36573840844,10199.98535202154,10200.22669839388,0.8148663319888527,0.8148402991944153,90.53965763551832,90.53955628700896
4.0,4.0,0.15292595326900482,-0.0996682196855545,1.0,1.0,43012.40207047312,43012.65421053851,5587.8374659803785,5587.915201655717,0.6653836239984603,0.6652288384149525,8.595643160581261,8.595257996302237
1.0,1.0,0.22850266098976135,-0.1669849455356598,1.0,1.0,65576.45480121023,65576.46114317745,12653.196637812354,12653.32676974331,0.031047840453652498,0.030886288826650343,105.88442145545287,105.88558756381099
1.0,1.0,0.3439331352710724,0.5283048748970032,1.0,1.0,81166.9378964065,81167.79097820594,10725.211953434753,10725.323516263168,1.3765664137156364,1.3765941700170572,66.27545189270302,66.27587879659052
1.0,1.0,0.06089247018098831,-0.2689869701862335,1.0,1.0,70559.75862480717,70560.18404073043,9444.105141886152,9444.15745154175,0.9081310541692238,0.9081370933270456,9.554905961210494,9.554889807080361
